,Unnamed: 0, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, SYN Flag Count, RST Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound, Label
2995234,3003528,647,3884,17,2,2,0,2896.0,0.0,1448.0,1448.0,1448.0,0.0,0.0,0.0,0.0,0.0,1448000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,2944,0,1000000.0,0.0,1448.0,1448.0,1448.0,0.0,0.0,0,0,0,0,0,0.0,2172.0,1448.0,0.0,2944,2,2896,0,0,-1,-1,1,1472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6
66426814,68534435,638,7558,17,1,2,0,458.0,0.0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,229.0,229.0,229.0,0.0,0.0,0,0,0,0,0,0.0,343.5,229.0,0.0,40,2,458,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
51031921,52551327,16723,6822,6,1,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,6.0,6.0,6.0,0.0,0.0,0,0,1,0,0,0.0,9.0,6.0,0.0,40,2,12,0,0,5840,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
47471822,48785617,649,52381,17,1,2,0,2944.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2000000.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0,0,0,0,0,0.0,2208.0,1472.0,0.0,0,2,2944,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7
26600452,27348030,62523,32878,17,2,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,516000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,40,0,1000000.0,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0.0,774.0,516.0,0.0,40,2,1032,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
25697406,26391101,62506,2888,17,2999765,4,0,2064.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,688.0538975553085,1.3334377859599005,999921.6666666667,1731878.75730414,2999723.0,1.0,2999765.0,999921.6666666667,1731878.75730414,2999723.0,1.0,0.0,0.0,0.0,0.0,0.0,0,56,0,1.3334377859599005,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0.0,645.0,516.0,0.0,56,4,2064,0,0,-1,-1,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
25985931,26696904,63491,14516,17,1,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,1032000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0.0,774.0,516.0,0.0,40,2,1032,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3403454,3412145,842,23372,17,2,2,0,2944.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0.0,0.0,0.0,1472000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0,0,0,0,0,0.0,2208.0,1472.0,0.0,0,2,2944,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6
10499670,10842472,50906,443,6,337460,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.926628341136728,337460.0,0.0,337460.0,337460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,2.963314170568364,2.963314170568364,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1.0,0.0,0.0,0.0,20,1,0,1,0,63458,32544,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
26588598,27335230,62574,56208,17,2,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,516000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0.0,774.0,516.0,0.0,0,2,1032,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
67330588,69451025,648,3719,17,1,2,0,458.0,0.0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,2000000.0,0.0,229.0,229.0,229.0,0.0,0.0,0,0,0,0,0,0.0,343.5,229.0,0.0,-2,2,458,0,0,-1,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
44382406,45609572,755,4594,17,49,2,0,2944.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0.0,0.0,0.0,60081632.653061226,40816.32653061225,49.0,0.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,40816.32653061225,0.0,1472.0,1472.0,1472.0,0.0,0.0,0,0,0,0,0,0.0,2208.0,1472.0,0.0,-2,2,2944,0,0,-1,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7
21693281,22255359,63318,17037,17,3000186,4,0,2064.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,687.9573466445081,1.3332506717916823,1000062.0,1732156.462668139,3000184.0,1.0,3000186.0,1000062.0,1732156.462668139,3000184.0,1.0,0.0,0.0,0.0,0.0,0.0,0,56,0,1.3332506717916823,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0.0,645.0,516.0,0.0,56,4,2064,0,0,-1,-1,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
15474327,15926656,12473,48916,17,1,2,0,824.0,0.0,412.0,412.0,412.0,0.0,0.0,0.0,0.0,0.0,824000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,412.0,412.0,412.0,0.0,0.0,0,0,0,0,0,0.0,618.0,412.0,0.0,40,2,824,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
64822567,66857077,954,53443,17,1,2,0,458.0,0.0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,229.0,229.0,229.0,0.0,0.0,0,0,0,0,0,0.0,343.5,229.0,0.0,40,2,458,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12
20780001,21330797,62468,18677,17,3,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,344000000.0,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,40,0,666666.6666666665,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0.0,774.0,516.0,0.0,40,2,1032,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
38215958,39306944,35691,12322,17,2,2,0,802.0,0.0,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,401000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,40,0,1000000.0,0.0,401.0,401.0,401.0,0.0,0.0,0,0,0,0,0,0.0,601.5,401.0,0.0,40,2,802,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9
40293946,41416247,35620,11034,17,108495,4,0,1398.0,0.0,369.0,330.0,349.5,22.516660498395403,0.0,0.0,0.0,0.0,12885.386423337482,36.86805843587262,36165.0,62636.15336209592,108491.0,1.0,108495.0,36165.0,62636.15336209592,108491.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1274,0,36.86805843587262,0.0,330.0,369.0,345.6,21.36117974270148,456.3,0,0,0,0,0,0.0,432.0,349.5,0.0,1274,4,1398,0,0,-1,-1,3,316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9
11556971,11905779,1001,28404,17,8,10,0,4256.0,0.0,440.0,368.0,425.6,30.357865537616444,0.0,0.0,0.0,0.0,532000000.0,1250000.0,0.8888888888888888,0.6009252125773314,2.0,0.0,8.0,0.8888888888888888,0.6009252125773314,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1250000.0,0.0,368.0,440.0,426.9090909090909,29.125434058412058,848.2909090909093,0,0,0,0,0,0.0,469.6,425.6,0.0,0,10,4256,0,0,-1,-1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
49628344,51068966,65066,19110,6,86,2,2,12.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,279069.76744186046,46511.62790697674,28.666666666666664,47.92007234273893,84.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,40,40,23255.81395348837,23255.81395348837,6.0,6.0,6.0,0.0,0.0,0,0,1,0,0,1.0,7.5,6.0,6.0,40,2,12,2,12,5840,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
40877164,42039418,52962,47979,17,104185,4,0,1398.0,0.0,369.0,330.0,349.5,22.516660498395403,0.0,0.0,0.0,0.0,13418.438354849546,38.39324278926909,34728.33333333333,60147.77369390603,104181.0,2.0,104185.0,34728.33333333333,60147.77369390603,104181.0,2.0,0.0,0.0,0.0,0.0,0.0,0,80,0,38.393242789269095,0.0,330.0,369.0,345.6,21.36117974270148,456.3,0,0,0,0,0,0.0,432.0,349.5,0.0,80,4,1398,0,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4
24794975,25441599,62565,38188,17,48,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,21500000.0,41666.66666666666,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,41666.66666666666,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0.0,774.0,516.0,0.0,-2,2,1032,0,0,-1,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
44180213,45398981,552,55665,17,1,2,0,2944.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2000000.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0,0,0,0,0,0.0,2208.0,1472.0,0.0,0,2,2944,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7
26354320,27087048,61684,40053,17,1,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,1032000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0.0,774.0,516.0,0.0,40,2,1032,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2683700,2691847,973,35801,17,3,2,0,2944.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0.0,0.0,0.0,981333333.3333333,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,666666.6666666665,0.0,1472.0,1472.0,1472.0,0.0,0.0,0,0,0,0,0,0.0,2208.0,1472.0,0.0,0,2,2944,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6
45312922,46579841,564,1986,17,1,2,0,2944.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2000000.0,0.0,1472.0,1472.0,1472.0,0.0,0.0,0,0,0,0,0,0.0,2208.0,1472.0,0.0,0,2,2944,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7
11497087,11845515,841,40181,17,12355,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,7122622.420072845,16187.778227438284,62.08542713567842,174.23517643045273,1096.0,0.0,12355.0,62.08542713567842,174.23517643045273,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4000,0,16187.778227438284,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
50031920,51507975,40809,63372,6,1,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,6.0,6.0,6.0,0.0,0.0,0,0,1,0,0,0.0,9.0,6.0,0.0,40,2,12,0,0,5840,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
50100742,51580322,45049,43344,6,1,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,6.0,6.0,6.0,0.0,0.0,0,0,1,0,0,0.0,9.0,6.0,0.0,40,2,12,0,0,5840,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
39395160,40499180,48815,61842,17,107976,4,0,1438.0,0.0,389.0,330.0,359.5,34.06366588218791,0.0,0.0,0.0,0.0,13317.774320219309,37.04526931910795,35992.0,62338.24061521146,107974.0,1.0,107976.0,35992.0,62338.24061521146,107974.0,1.0,0.0,0.0,0.0,0.0,0.0,0,80,0,37.04526931910795,0.0,330.0,389.0,353.6,32.3156308928048,1044.3,0,0,0,0,0,0.0,442.0,359.5,0.0,80,4,1438,0,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9
67605341,69740308,973,36700,17,1,2,0,458.0,0.0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,2000000.0,0.0,229.0,229.0,229.0,0.0,0.0,0,0,0,0,0,0.0,343.5,229.0,0.0,40,2,458,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
22126606,22694658,62468,50660,17,2999662,4,0,2064.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,688.0775234009699,1.3334835724824998,999887.3333333333,1731853.9311270835,2999660.0,1.0,2999662.0,999887.3333333333,1731853.9311270835,2999660.0,1.0,0.0,0.0,0.0,0.0,0.0,0,40,0,1.3334835724824998,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0.0,645.0,516.0,0.0,40,4,2064,0,0,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
